date,revenue_this_year,revenue_last_year,revenue_variance,revenue_pct_difference,orders_this_year,orders_last_year,orders_variance,orders_pct_difference,stock_value_jhb_this_year,stock_value_dbn_this_year,stock_value_cpt_this_year,stock_value_total_this_year,stock_value_jhb_last_year,stock_value_dbn_last_year,stock_value_cpt_last_year,stock_value_total_last_year
2026-04-20,282581.66,69579.69,213001.97,306.13,370,97,273,281.44,5645427.83,1527254.9799999995,2293370.6999999997,9466053.51,4684224.789999999,1291184.28,2310475.6400000006,8285884.71
2026-04-21,201022.34,109148.99,91873.35,84.17,279,160,119,74.38,5761873.41,1528089.27,2340054.82,9630017.5,4649078.83,1277260.13,2289481.2300000004,8215820.19
2026-04-22,203710.93,219805.12,-16094.19,-7.32,266,296,-30,-10.14,5703212.92,1515407.4600000002,2420605.95,9639226.33,4607017.749999999,1275448.41,2252395.9399999995,8134862.099999999
2026-04-23,163891.27,174880.79,-10989.52,-6.28,235,248,-13,-5.24,5731492.79,1578655.69,2399971.7099999995,9710120.19,4575310.51,1261711.5499999998,2266271.0,8103293.06
2026-04-24,189419.23,176996.56,12422.67,7.02,247,248,-1,-0.4,5961015.209999999,1605757.4,2416792.34,9983564.95,4536394.83,1248107.18,2244804.7899999996,8029306.799999999
2026-04-25,132646.09,301399.62,-168753.53,-55.99,158,388,-230,-59.28,5897922.429999998,1593721.9599999995,2404623.59,9896267.979999997,4970017.4700000025,1239700.5499999998,2176945.09,8386663.110000002
2026-04-26,113139.75,129919.87,-16780.12,-12.92,150,200,-50,-25.0,5844582.189999999,1583863.5,2387944.07,9816389.759999998,4914214.47,1229453.63,2163259.51,8306927.609999999
2026-04-27,210842.73,122493.28,88349.45,72.13,277,178,99,55.62,5748996.98,1566106.03,2360439.8600000003,9675542.870000001,4862059.600000001,1217014.95,2142363.4099999997,8221437.960000001
2026-04-28,361125.45,197383.33,163742.12,82.96,479,276,203,73.55,5650680.95,1613589.2099999995,2325638.7899999996,9589908.95,4762969.57,1207142.3399999999,2111897.39,8082009.300000001
2026-04-29,314257.01,261538.13,52718.88,20.16,424,372,52,13.98,5621868.590000001,1593103.4100000001,2384217.41,9599189.41,4690328.91,1181070.3599999999,2117979.8499999996,7989379.119999999
2026-04-30,198569.75,218149.84,-19580.09,-8.98,308,304,4,1.32,5703702.61,1614734.06,2444117.4699999997,9762554.14,4652568.0600000005,1165087.7,2158655.0599999996,7976310.82
2026-05-01,144591.36,140981.11,3610.25,2.56,203,193,10,5.18,5610163.829999999,1742693.78,2412005.3999999994,9764863.009999998,4622340.750000001,1161456.04,2119141.96,7902938.750000001
2026-05-02,105798.83,121812.86,-16014.03,-13.15,143,167,-24,-14.37,5560744.2299999995,1731375.48,2392497.31,9684617.02,4502174.53,1263683.0899999999,2124359.17,7890216.79
2026-05-03,133329.08,78860.95,54468.13,69.07,197,107,90,84.11,5494797.0,1719040.9299999997,2369756.6799999992,9583594.61,4469053.27,1258011.7499999998,2089141.5,7816206.52
2026-05-04,359215.12,79772.83,279442.29,350.3,355,110,245,222.73,5519107.98,1953228.0399999998,2355594.1399999997,9827930.16,4442117.62,1250537.6099999999,2068104.03,7760759.260000001
2026-05-05,963113.35,502846.59,460266.76,91.53,744,462,282,61.04,5559372.819999999,1919146.9699999995,2141532.4899999993,9620052.279999997,4226773.710000001,1220560.56,1992511.6300000001,7439845.900000001
2026-05-06,1079149.58,527373.39,551776.19,104.63,536,486,50,10.29,5577074.479999999,1871679.4699999995,2071466.5899999999,9520220.54,4022829.61,1182134.77,2015143.43,7220107.81
2026-05-07,325317.98,403878.21,-78560.23,-19.45,369,402,-33,-8.21,5649049.979999999,1881289.5099999998,2094068.2699999993,9624407.759999998,3911919.829999999,1139072.1999999997,1989620.4999999998,7040612.529999999
